# FNIRS session start 2025-08-10T09:53:07.457161
# columns: t_rel, sr, nr, red_mean, red_std, red_min, red_max, ir_mean, ir_std, ir_min, ir_max
26.818,786.908,30.569,46508.341224,24431.536772,0.000000,65535.000000,38274.225380,27705.185152,61.000000,65535.000000
27.851,785.833,30.969,46509.811392,24427.795786,0.000000,65535.000000,38282.257172,27709.633861,61.000000,65535.000000
28.912,798.127,31.096,46530.208672,24421.062505,0.000000,65535.000000,38299.577598,27708.384568,61.000000,65535.000000
29.944,780.789,30.999,46530.032788,24423.473519,0.000000,65535.000000,38290.179486,27706.124530,61.000000,65535.000000
31.012,770.627,30.900,46526.123235,24426.375568,0.000000,65535.000000,38276.556714,27708.773019,61.000000,65535.000000
32.081,810.415,31.818,46540.422446,24422.686126,0.000000,65535.000000,38280.655822,27706.619462,61.000000,65535.000000
33.092,790.866,31.635,46543.449604,24429.029968,0.000000,65535.000000,38272.630406,27709.390030,61.000000,65535.000000
34.131,671.194,29.852,46493.810669,24437.916802,0.000000,65535.000000,38177.951031,27707.580228,61.000000,65535.000000
35.216,792.635,31.337,46505.529303,24430.354998,0.000000,65535.000000,38185.250480,27708.931082,61.000000,65535.000000
36.231,785.244,31.528,46492.354551,24428.068034,0.000000,65535.000000,38178.829435,27710.197592,61.000000,65535.000000
37.257,770.505,31.171,46465.259844,24433.602959,0.000000,65535.000000,38165.149285,27713.046854,61.000000,65535.000000
38.309,742.619,30.427,46443.019025,24438.884058,0.000000,65535.000000,38139.785648,27712.479472,61.000000,65535.000000
39.357,787.973,31.481,46423.544761,24441.986757,0.000000,65535.000000,38135.353440,27712.949248,61.000000,65535.000000
40.378,800.776,31.365,46414.915704,24439.996248,0.000000,65535.000000,38156.529538,27715.877350,61.000000,65535.000000
41.415,774.115,30.849,46398.221101,24439.527365,0.000000,65535.000000,38154.932883,27715.134550,61.000000,65535.000000
42.444,789.470,31.112,46396.211873,24432.001130,0.000000,65535.000000,38163.407339,27712.418508,61.000000,65535.000000
43.457,765.879,31.583,46377.179414,24436.976626,0.000000,65535.000000,38141.053156,27713.090354,61.000000,65535.000000
44.488,766.263,31.039,46349.884861,24438.231786,0.000000,65535.000000,38126.499138,27711.965490,61.000000,65535.000000
45.536,740.170,30.522,46324.033605,24443.773508,0.000000,65535.000000,38106.398060,27714.287922,61.000000,65535.000000
46.567,773.220,32.015,46295.400996,24448.138109,0.000000,65535.000000,38084.287923,27715.560611,61.000000,65535.000000
47.621,758.105,31.311,46272.457450,24448.405473,0.000000,65535.000000,38063.429433,27715.570204,61.000000,65535.000000
48.627,765.109,29.809,46263.440173,24448.385427,0.000000,65535.000000,38077.349233,27714.310008,61.000000,65535.000000
49.669,774.651,31.677,46237.936643,24454.810361,0.000000,65535.000000,38063.056025,27714.078163,61.000000,65535.000000
50.713,771.334,31.620,46212.035510,24462.146305,0.000000,65535.000000,38045.476554,27712.643433,61.000000,65535.000000
51.747,739.636,29.972,46192.662680,24469.799386,0.000000,65535.000000,38032.738183,27712.816217,61.000000,65535.000000
52.794,795.430,31.512,46175.317532,24474.854840,0.000000,65535.000000,38040.207434,27714.442992,61.000000,65535.000000
53.827,815.603,31.965,46168.544261,24475.367604,0.000000,65535.000000,38046.889966,27712.941441,61.000000,65535.000000
54.871,759.258,29.681,46161.370391,24471.968442,0.000000,65535.000000,38056.585139,27712.054586,61.000000,65535.000000
55.910,775.372,31.746,46138.573812,24476.272699,0.000000,65535.000000,38044.403768,27711.887682,61.000000,65535.000000
56.949,794.506,31.780,46131.541732,24477.478503,0.000000,65535.000000,38045.586956,27713.396133,61.000000,65535.000000
57.994,757.537,30.608,46115.642652,24480.336396,0.000000,65535.000000,38038.723171,27714.289687,61.000000,65535.000000
59.029,763.350,30.921,46104.935543,24482.013188,0.000000,65535.000000,38032.274922,27715.219524,61.000000,65535.000000
60.072,811.579,31.657,46102.671599,24481.672199,0.000000,65535.000000,38049.420414,27715.183071,61.000000,65535.000000
61.117,772.267,30.623,46092.658165,24488.802820,0.000000,65535.000000,38054.161975,27715.632787,61.000000,65535.000000
62.163,797.396,31.552,46084.243383,24489.886908,0.000000,65535.000000,38057.079986,27714.558037,61.000000,65535.000000
63.214,791.629,31.399,46070.926171,24492.141250,0.000000,65535.000000,38057.896436,27714.288970,61.000000,65535.000000
64.251,773.412,30.859,46056.116200,24494.920633,0.000000,65535.000000,38057.734540,27714.883240,61.000000,65535.000000
65.294,715.095,29.716,46032.255560,24502.904930,0.000000,65535.000000,38051.825260,27716.410099,61.000000,65535.000000
66.341,800.183,32.466,46006.298940,24508.072297,0.000000,65535.000000,38053.479540,27717.968016,61.000000,65535.000000
67.389,776.707,31.488,45980.527300,24511.641144,0.000000,65535.000000,38027.261200,27716.475849,61.000000,65535.000000
68.438,773.426,30.517,45972.317000,24513.388523,0.000000,65535.000000,38019.333720,27716.635954,61.000000,65535.000000
69.480,728.901,29.732,45949.111920,24516.282827,0.000000,65535.000000,37998.664540,27714.797266,61.000000,65535.000000
70.532,847.352,33.285,45942.065240,24510.258383,0.000000,65535.000000,38006.558400,27711.961263,61.000000,65535.000000
71.582,747.595,30.475,45940.523580,24499.453895,0.000000,65535.000000,38024.820320,27711.021808,61.000000,65535.000000
72.614,788.411,30.994,45921.838820,24505.118560,0.000000,65535.000000,38040.477860,27709.314209,61.000000,65535.000000
73.657,789.235,31.646,45912.569680,24500.420796,0.000000,65535.000000,38037.077160,27709.349356,61.000000,65535.000000
74.691,761.876,29.972,45894.554940,24499.592320,0.000000,65535.000000,38031.452140,27706.965404,61.000000,65535.000000
75.733,785.320,31.682,45870.945980,24502.587763,0.000000,65535.000000,38011.926900,27706.602607,61.000000,65535.000000
76.779,788.840,31.554,45870.448680,24498.894929,0.000000,65535.000000,38019.878500,27706.272610,61.000000,65535.000000
77.831,760.658,30.426,45858.915120,24498.846943,0.000000,65535.000000,38017.889580,27707.452795,61.000000,65535.000000
78.868,754.826,29.885,45819.243320,24511.420419,0.000000,65535.000000,38020.914800,27705.423710,61.000000,65535.000000
79.915,653.162,27.693,45805.377620,24499.665866,0.000000,65535.000000,38034.554180,27670.641203,61.000000,65535.000000
80.968,628.673,30.389,45813.213220,24442.255100,0.000000,65535.000000,37949.074440,27636.268635,0.000000,65535.000000
82.021,107.358,4.750,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
83.069,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
84.109,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
85.154,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
86.202,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
87.245,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
88.246,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
89.287,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
90.334,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
91.376,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
92.421,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
93.465,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
94.500,0.000,0.000,45816.277340,24434.727379,0.000000,65535.000000,37932.680140,27631.856627,0.000000,65535.000000
